_Id;_PostTypeId;_AcceptedAnswerId;_CreationDate;_Score;_ViewCount;_OwnerUserId;_LastEditorUserId;_LastEditDate;_LastActivityDate;_Title;_Tags;_AnswerCount;_CommentCount;_FavoriteCount
18;2;;2015-03-31T20:29:08.227;21;;26;26;2015-04-30T01:10:09.960;2015-04-30T01:10:09.960;;;;3;
19;5;;2015-03-31T20:33:22.050;0;;-1;-1;2015-03-31T20:33:22.050;2015-03-31T20:33:22.050;;;;0;
20;4;;2015-03-31T20:33:22.050;0;;-1;-1;2015-03-31T20:33:22.050;2015-03-31T20:33:22.050;;;;0;
21;1;37;2015-03-31T20:37:34.437;28;1955;43;;2015-04-21T21:25:23.390;2015-04-22T12:56:40.170;Can MRI scans be dangerous for one's health?;<side-effects><mri>;2;0;2
22;1;;2015-03-31T20:41:07.330;10;145;43;43;2017-02-26T16:58:38.803;2017-02-26T16:58:38.803;How can I avoid voice strain when using speech recognition all day long?;<voice><computers>;3;3;1
23;1;28;2015-03-31T20:42:38.480;3;101;43;;;2015-03-31T20:54:09.007;When applying Neospirin to a wound, why is it advised to apply only a thin layer of it?;<wound><dermatology>;1;0;
24;2;;2015-03-31T20:46:23.263;23;;10;;;2015-03-31T20:46:23.263;;;;0;
25;1;;2015-03-31T20:48:22.580;6;163;43;165;2015-04-18T23:42:23.710;2015-04-18T23:42:23.710;Can I use a foot pedal to send mouse clicks and/or modifier keys ergonomically?;<computers><ankle><ergonomics><repetitive-strain-injury>;1;1;2
26;1;39;2015-03-31T20:52:12.037;32;529;45;-1;2016-12-02T14:14:42.150;2016-12-02T14:14:42.150;Is there any health risk in cellular phones?;<cancer><brain><cellular-phone><health-outcomes>;2;5;5
27;1;;2015-03-31T20:52:43.560;5;47;43;;;2015-03-31T21:18:37.570;To heal a tendinitis, how to decide when to exercise, stretch and rest?;<tendinopathy>;1;0;
28;2;;2015-03-31T20:54:09.007;6;;44;;;2015-03-31T20:54:09.007;;;;1;
29;2;;2015-03-31T20:55:13.177;3;;26;26;2015-04-10T20:30:07.750;2015-04-10T20:30:07.750;;;;0;
30;1;61;2015-03-31T20:59:16.880;1;48;43;;;2015-03-31T23:01:14.110;How to distinguish a non-inflammatory tendinopathy (a.k.a tendinosis) from an inflammatory tendinopathy (a.k.a. tendinitis)?;<tendinopathy>;1;0;
31;2;;2015-03-31T21:06:18.987;1;;40;;;2015-03-31T21:06:18.987;;;;0;
32;1;;2015-03-31T21:11:37.670;4;60;43;;;2015-04-08T18:09:03.287;Effect of dexamethasone iontophoreses on tendons;<tendons><dexamethasone><iontophoresis>;1;0;
34;2;;2015-03-31T21:18:37.570;4;;44;;;2015-03-31T21:18:37.570;;;;0;
35;1;36;2015-03-31T21:19:12.927;3;77;43;43;2015-03-31T21:28:57.040;2015-05-19T19:00:44.770;Should I go to the occupational therapist or the physical therapist if I have a tendinopathy in the USA?;<tendinopathy>;1;1;
36;2;;2015-03-31T21:28:09.343;2;;26;26;2015-04-10T03:23:16.953;2015-04-10T03:23:16.953;;;;0;
37;2;;2015-03-31T21:31:01.373;24;;11;257;2015-04-22T12:56:40.170;2015-04-22T12:56:40.170;;;;13;
39;2;;2015-03-31T21:40:06.870;20;;47;169;2015-04-07T12:19:33.383;2015-04-07T12:19:33.383;;;;2;
40;1;4717;2015-03-31T21:40:37.900;7;72;43;;;2016-02-09T05:12:41.263;Why are inflammations painful in the case of a tendinitis?;<tendinitis>;1;0;
41;1;42;2015-03-31T22:07:14.380;11;76;55;;;2015-04-10T15:21:57.667;How do tubes help treat ear infections?;<otolaryngology><infection><treatment>;1;0;1
42;2;;2015-03-31T22:17:10.527;7;;26;26;2015-04-10T15:21:57.667;2015-04-10T15:21:57.667;;;;0;
43;1;44;2015-03-31T22:23:31.990;5;135;49;169;2015-04-18T01:51:45.447;2016-10-28T07:22:06.437;What is the cause of Type 1 Diabetes?;<diabetes><type-1-diabetes>;2;0;
44;2;;2015-03-31T22:23:31.990;5;;49;49;2015-07-01T16:13:41.427;2015-07-01T16:13:41.427;;;;3;
45;1;227;2015-03-31T22:24:56.640;15;405;55;;;2015-08-16T16:24:33.963;Is exceeding the US RDA for vitamin C dangerous?;<nutrition><micronutrients>;5;0;
46;1;77;2015-03-31T22:26:21.513;15;318;59;;;2016-10-26T12:15:58.893;Are artificial sweeteners safe?;<nutrition>;3;1;3
47;5;;2015-03-31T22:27:45.463;0;;-1;-1;2015-03-31T22:27:45.463;2015-03-31T22:27:45.463;;;;0;
48;4;;2015-03-31T22:27:45.463;0;;140;140;2016-02-10T15:14:46.653;2016-02-10T15:14:46.653;;;;0;
49;5;;2015-03-31T22:31:06.953;0;;-1;-1;2015-03-31T22:31:06.953;2015-03-31T22:31:06.953;;;;0;
50;4;;2015-03-31T22:31:06.953;0;;-1;-1;2015-03-31T22:31:06.953;2015-03-31T22:31:06.953;;;;0;
51;1;;2015-03-31T22:31:43.487;17;220;52;113;2015-04-03T01:23:18.363;2015-04-19T04:26:22.103;Is there evidence that eating too much sugar can increase the risk of diabetes?;<diabetes><sugar>;1;3;2
52;1;85;2015-03-31T22:33:47.010;69;2937;59;140;2015-11-24T03:45:01.663;2017-02-20T14:56:50.453;How can I protect my eyesight when using computers?;<eye><computers><lifestyle>;6;0;16
53;2;;2015-03-31T22:37:04.143;3;;53;53;2015-03-31T22:44:31.920;2015-03-31T22:44:31.920;;;;1;
55;1;;2015-03-31T22:41:24.753;16;239;59;140;2015-11-24T08:06:52.667;2016-06-16T18:40:10.630;Is there any evidence for health benefits from cannabis?;<medications><recreational-drugs>;2;0;1
56;1;;2015-03-31T22:42:55.277;20;205;64;53;2015-04-01T03:08:06.927;2015-11-13T20:06:28.100;How cautious do I need to be with unvaccinated students around newborns?;<vaccination><infant>;2;0;
57;1;;2015-03-31T22:44:16.197;10;12524;62;6563;2017-03-12T12:15:40.793;2017-03-12T12:15:40.793;Can a banana peel cure a plantar wart?;<immune-system><natural-remedy><placebo><plantar-wart><palmar-warts>;1;2;2
58;1;;2015-03-31T22:46:59.430;7;37;64;;;2015-03-31T23:11:05.443;Wound precautions in public facilities?;<wound-care><hygiene>;1;0;
60;2;;2015-03-31T22:55:56.027;14;;26;26;2015-04-19T04:26:22.103;2015-04-19T04:26:22.103;;;;2;
61;2;;2015-03-31T23:01:14.110;1;;63;;;2015-03-31T23:01:14.110;;;;2;
62;2;;2015-03-31T23:03:24.383;11;;53;;;2015-03-31T23:03:24.383;;;;1;
63;2;;2015-03-31T23:09:42.423;13;;59;;;2015-03-31T23:09:42.423;;;;2;
64;2;;2015-03-31T23:11:05.443;6;;53;;;2015-03-31T23:11:05.443;;;;1;
65;1;76;2015-03-31T23:14:22.620;20;13469;59;59;2015-04-01T00:13:13.747;2016-12-06T08:13:01.383;Why do I feel shaky after only a small amount of caffeine?;<drug-metabolism><caffeine>;2;7;2
66;1;;2015-03-31T23:14:27.713;8;321;69;114;2015-04-08T16:59:59.200;2015-04-08T16:59:59.200;What topical applications can assist wound healing and prevent scarring?;<wound><wound-care>;2;1;1
67;1;275;2015-03-31T23:20:03.347;9;97;59;;;2015-04-03T14:38:46.570;Are essential oils good disinfectants?;<bacteria><essential-oil>;1;0;1
68;2;;2015-03-31T23:24:12.057;1;;53;;;2015-03-31T23:24:12.057;;;;2;
72;1;174;2015-04-01T00:23:14.523;4;1438;14;14;2015-04-01T00:37:26.173;2015-08-10T05:10:54.753;For long-term use: Non-Alcoholic Mouthwash vs Saltwater;<dentistry>;1;2;1
74;1;107;2015-04-01T00:28:56.583;4;90;74;74;2015-04-02T01:14:04.153;2015-04-02T01:14:04.153;How safe are backboards?;<emergency><first-aid><spine>;1;3;
75;1;;2015-04-01T00:34:02.630;6;192;71;71;2015-04-07T09:33:01.907;2016-04-24T13:43:55.447;Is it possible to reverse the skin cell damage caused by sunlight by taking appropriate vitamins?;<dermatology><micronutrients>;2;2;
76;2;;2015-04-01T00:48:00.220;13;;26;26;2015-04-15T20:03:50.140;2015-04-15T20:03:50.140;;;;2;
77;2;;2015-04-01T00:48:24.407;14;;11;;;2015-04-01T00:48:24.407;;;;0;
78;1;;2015-04-01T01:00:43.637;7;145;14;282;2015-06-04T13:19:33.010;2015-06-04T13:19:33.010;Are there proven natural treatments to kill acne-causing bacteria?;<dermatology><treatment-options>;2;1;1
79;1;81;2015-04-01T01:23:34.707;10;481;26;26;2015-04-04T03:27:44.087;2015-04-12T18:56:22.643;Do carrots actually improve eyesight?;<eye>;2;3;1
80;1;337;2015-04-01T01:35:32.083;6;2328;38;165;2015-04-04T21:53:13.620;2016-12-09T17:00:42.667;How to reduce apnea/hypoapnea events?;<sleep><sleep-apnea><pulmonology>;2;0;1
81;2;;2015-04-01T02:00:21.793;10;;53;53;2015-04-12T18:56:22.643;2015-04-12T18:56:22.643;;;;2;
82;2;;2015-04-01T02:00:57.713;7;;26;26;2015-04-19T04:29:32.440;2015-04-19T04:29:32.440;;;;0;
83;1;614;2015-04-01T02:03:46.197;11;190;83;;;2015-04-21T18:22:10.317;Why does whooping cough last so long and can the duration of cough be reduced?;<infection><cough>;2;0;
84;2;;2015-04-01T02:18:31.967;-1;;82;82;2015-04-01T02:23:52.223;2015-04-01T02:23:52.223;;;;2;
85;2;;2015-04-01T03:30:24.763;49;;26;26;2015-05-04T02:42:55.287;2015-05-04T02:42:55.287;;;;3;
86;5;;2015-04-01T03:35:49.513;0;;-1;-1;2015-04-01T03:35:49.513;2015-04-01T03:35:49.513;;;;0;
87;4;;2015-04-01T03:35:49.513;0;;43;43;2015-04-01T16:04:16.037;2015-04-01T16:04:16.037;;;;0;
88;1;94;2015-04-01T03:42:04.687;14;668;87;87;2015-04-02T15:41:20.710;2015-06-28T12:36:18.327;How should ovo-lacto vegetarians compensate the lack of meat in their diets?;<nutrition><diet><vegetarianism>;4;0;1
89;5;;2015-04-01T03:46:21.730;0;;-1;-1;2015-04-01T03:46:21.730;2015-04-01T03:46:21.730;;;;0;
90;4;;2015-04-01T03:46:21.730;0;;43;43;2015-04-01T16:03:48.910;2015-04-01T16:03:48.910;;;;0;
91;1;;2015-04-01T03:54:02.823;5;1866;64;;;2016-10-04T22:32:29.460;Fasting blood glucose and Hemoglobin A1C not valid for athletes?;<diabetes><blood-tests>;3;0;1
92;2;;2015-04-01T03:59:22.983;7;;26;26;2015-04-19T04:33:18.600;2015-04-19T04:33:18.600;;;;0;
93;1;;2015-04-01T04:09:12.990;7;163;83;;;2015-04-04T18:59:21.617;What causes elevated liver function tests in a young asymptomatic patient?;<blood-tests><liver>;1;0;
94;2;;2015-04-01T04:16:27.357;13;;64;64;2015-06-28T03:17:06.763;2015-06-28T03:17:06.763;;;;3;
95;1;;2015-04-01T05:02:14.820;3;83;91;62;2015-04-30T16:51:52.247;2015-04-30T16:51:52.247;Is there a complete cure for Limited Scleroderma?;<dermatology>;1;0;
96;2;;2015-04-01T05:03:55.997;5;;90;;;2015-04-01T05:03:55.997;;;;0;
97;1;98;2015-04-01T05:08:06.040;7;277;76;108;2015-04-01T11:16:57.353;2015-04-19T04:35:16.103;Does CO2 laser treatment work well with acne scars?;<dermatology><laser>;1;0;1
98;2;;2015-04-01T05:24:59.940;3;;26;26;2015-04-19T04:35:16.103;2015-04-19T04:35:16.103;;;;0;
99;1;;2015-04-01T05:46:01.820;13;25341;94;1830;2015-12-14T12:45:43.493;2016-04-08T22:42:12.230;Why does my antibiotic make my urine yellow?;<medications><side-effects><urinary-system><antibiotics>;2;4;
100;1;206;2015-04-01T06:44:54.093;8;3375;100;108;2015-04-01T09:03:57.290;2015-04-02T07:05:03.127;How exact are the times for how long to wait between pills?;<medication><dosage>;1;5;1
101;1;;2015-04-01T08:47:25.943;13;168;108;;;2015-07-11T11:30:20.743;When to stretch as a sportsman;<muscle><sports>;3;0;2
102;1;714;2015-04-01T08:53:40.857;5;205;110;165;2015-04-24T08:50:42.990;2015-04-30T16:46:15.650;What are the symptoms of Migraine and how to categorise into severe or mild etc;<headache><migraine><neurology>;2;2;1
103;1;;2015-04-01T08:58:14.703;2;190;110;;;2015-04-01T14:17:55.400;What are the general causes of migraine and how can it be treated;<migraine><headache>;1;1;
104;1;;2015-04-01T09:02:27.887;2;75;110;3414;2016-04-14T14:20:59.357;2016-04-14T14:20:59.357;Can electronic device help with glaucoma?;<eye><ophthalmology><medical-device>;0;1;
105;1;;2015-04-01T09:23:00.067;6;4911;100;100;2016-02-13T19:14:18.383;2016-02-13T19:14:18.383;How cold can an asthmatic's drinking water be?;<water><asthma>;1;2;
106;1;;2015-04-01T09:41:42.973;6;413;105;394;2015-05-01T21:29:57.190;2015-05-02T02:46:12.220;How to handle cold in summers with nose bleeding issues?;<common-cold>;2;2;1
107;2;;2015-04-01T10:16:53.497;3;;102;102;2015-04-01T13:03:04.357;2015-04-01T13:03:04.357;;;;3;
108;1;;2015-04-01T10:19:23.107;9;487;113;1830;2016-01-01T11:54:20.340;2016-01-01T11:54:20.340;What are the health benefits and risks of ingesting Aloe vera?;<nutrition><cancer><natural-remedy><food-supplements>;1;0;2
109;1;321;2015-04-01T10:32:30.470;10;385;115;115;2015-04-04T18:21:38.167;2015-04-23T11:28:25.810;Natural ways to stop/delay hairloss?;<hygiene><alopecia><hairloss>;1;3;3
110;5;;2015-04-01T10:35:40.627;0;;-1;-1;2015-04-01T10:35:40.627;2015-04-01T10:35:40.627;;;;0;
111;4;;2015-04-01T10:35:40.627;0;;115;115;2015-04-01T16:04:30.973;2015-04-01T16:04:30.973;;;;0;
112;2;;2015-04-01T10:59:48.813;4;;114;114;2015-04-11T12:32:55.917;2015-04-11T12:32:55.917;;;;5;
113;1;;2015-04-01T11:02:55.343;9;19467;15;108;2015-04-01T12:07:16.830;2016-07-01T08:34:24.247;Is using urine to clean a wound better than non-sterile water?;<wound-care><first-aid>;1;8;1
115;2;;2015-04-01T11:30:13.820;4;;97;97;2015-07-11T11:30:20.743;2015-07-11T11:30:20.743;;;;0;
116;1;;2015-04-01T11:33:51.263;11;176;113;113;2015-04-02T16:37:04.623;2015-04-02T16:37:04.623;Why is natural sugar healthier than refined sugar?;<nutrition><diet><sugar>;1;0;1
117;2;;2015-04-01T11:44:36.527;3;;97;97;2015-07-12T06:16:35.437;2015-07-12T06:16:35.437;;;;1;
118;5;;2015-04-01T11:45:44.850;0;;102;102;2015-04-01T16:04:18.357;2015-04-01T16:04:18.357;;;;0;
119;4;;2015-04-01T11:45:44.850;0;;74;74;2015-04-06T13:37:06.347;2015-04-06T13:37:06.347;;;;0;
120;1;307;2015-04-01T12:14:46.297;21;3199;91;86;2015-04-05T01:51:40.330;2016-02-02T10:47:19.773;Why do doctors prescribe steroid tablets even though they know the side effects?;<medication><steroids><side-effects>;3;1;
121;1;;2015-04-01T12:36:29.873;4;51;121;6563;2017-01-25T09:57:56.693;2017-01-25T09:57:56.693;How can I treat calluses on my palms?;<dermatology><hand><removal><calluses><palms>;1;0;
122;1;138;2015-04-01T12:39:53.867;27;650;121;121;2015-04-01T13:41:46.463;2016-12-09T15:37:02.590;Does the lack of sleep affect my health?;<sleep>;3;3;5
123;2;;2015-04-01T12:44:34.470;8;;120;120;2015-06-28T12:36:18.327;2015-06-28T12:36:18.327;;;;3;
124;1;152;2015-04-01T12:51:50.053;16;240;59;;;2015-10-22T10:09:27.323;Why is sitting for long periods unhealthy?;<posture>;3;3;5
125;1;177;2015-04-01T12:54:48.460;7;75;55;26;2015-04-01T13:25:30.180;2015-04-19T04:36:56.000;Is eye patching effective for older children with amblyopia?;<optometry>;1;0;
126;5;;2015-04-01T13:01:05.873;0;;-1;-1;2015-04-01T13:01:05.873;2015-04-01T13:01:05.873;;;;0;
127;4;;2015-04-01T13:01:05.873;0;;108;108;2015-04-01T16:03:34.573;2015-04-01T16:03:34.573;;;;0;
128;1;;2015-04-01T13:26:50.567;7;147;94;94;2015-04-02T05:36:29.323;2015-04-02T05:36:29.323;How does LASIK (laser eye surgery) work?;<eye><surgery>;1;3;
129;5;;2015-04-01T13:30:20.403;0;;26;26;2015-04-01T16:03:17.010;2015-04-01T16:03:17.010;;;;0;
130;4;;2015-04-01T13:30:20.403;0;;767;767;2015-08-04T21:35:43.593;2015-08-04T21:35:43.593;;;;0;
131;2;;2015-04-01T13:30:24.983;6;;120;;;2015-04-01T13:30:24.983;;;;0;
132;5;;2015-04-01T13:35:46.573;0;;-1;-1;2015-04-01T13:35:46.573;2015-04-01T13:35:46.573;;;;0;
133;4;;2015-04-01T13:35:46.573;0;;26;120;2015-04-02T22:51:52.347;2015-04-02T22:51:52.347;;;;0;
134;5;;2015-04-01T13:39:58.490;0;;26;26;2015-04-01T16:03:57.523;2015-04-01T16:03:57.523;;;;0;
135;4;;2015-04-01T13:39:58.490;0;;26;26;2015-04-01T16:03:25.280;2015-04-01T16:03:25.280;;;;0;
137;2;;2015-04-01T13:47:12.320;4;;94;;;2015-04-01T13:47:12.320;;;;0;
138;2;;2015-04-01T13:53:12.170;19;;102;102;2015-04-01T14:33:55.733;2015-04-01T14:33:55.733;;;;0;
139;2;;2015-04-01T14:08:52.200;-3;;114;114;2015-04-25T12:33:36.550;2015-04-25T12:33:36.550;;;;5;
140;2;;2015-04-01T14:17:55.400;1;;114;;;2015-04-01T14:17:55.400;;;;0;
141;2;;2015-04-01T14:24:54.137;2;;114;114;2015-04-24T17:29:18.143;2015-04-24T17:29:18.143;;;;0;
142;2;;2015-04-01T14:44:00.273;2;;64;;;2015-04-01T14:44:00.273;;;;0;
143;2;;2015-04-01T14:59:45.670;12;;64;64;2015-04-17T21:44:58.237;2015-04-17T21:44:58.237;;;;3;
145;2;;2015-04-01T15:04:20.400;5;;114;;;2015-04-01T15:04:20.400;;;;1;
148;2;;2015-04-01T15:31:52.007;-4;;114;114;2015-04-15T18:13:37.963;2015-04-15T18:13:37.963;;;;3;
149;2;;2015-04-01T15:51:58.103;3;;114;;;2015-04-01T15:51:58.103;;;;0;
150;2;;2015-04-01T15:54:44.173;6;;97;97;2015-04-01T16:04:02.293;2015-04-01T16:04:02.293;;;;0;
151;2;;2015-04-01T16:22:02.993;4;;129;169;2015-04-05T01:52:18.403;2015-04-05T01:52:18.403;;;;2;
152;2;;2015-04-01T16:25:29.157;11;;90;;;2015-04-01T16:25:29.157;;;;1;
154;1;;2015-04-01T17:43:53.167;7;165;120;1830;2015-12-14T00:33:16.137;2016-02-16T00:21:36.157;Are dairy products effective sources of calcium?;<nutrition><dairy><calcium>;2;2;
155;1;;2015-04-01T18:23:53.043;10;2199;43;163;2015-04-12T18:27:33.133;2015-09-15T09:50:44.343;What are the health tradeoffs between eating while standing vs. sitting vs. in reclining position?;<posture><nutrition>;2;0;3
156;2;;2015-04-01T18:32:21.040;6;;90;;;2015-04-01T18:32:21.040;;;;2;
157;2;;2015-04-01T18:37:45.920;5;;136;;;2015-04-01T18:37:45.920;;;;0;
158;1;159;2015-04-01T18:38:46.777;3;75;102;102;2015-04-01T20:36:15.137;2015-04-01T20:36:15.137;Legal issues when using first aid techniques that require certification in foreign countries;<first-aid>;1;5;
159;2;;2015-04-01T19:33:02.260;7;;64;;;2015-04-01T19:33:02.260;;;;1;
163;5;;2015-04-01T22:15:37.310;0;;26;26;2015-04-02T02:04:42.093;2015-04-02T02:04:42.093;;;;0;
164;4;;2015-04-01T22:15:37.310;0;;26;29;2015-04-02T02:04:35.887;2015-04-02T02:04:35.887;;;;0;
167;1;179;2015-04-01T23:30:16.037;6;241;13;1830;2015-12-15T08:37:07.903;2015-12-15T08:40:49.163;Crohn's disease and naproxen;<medications><side-effects><crohns>;1;0;
168;5;;2015-04-01T23:40:30.733;0;;120;120;2015-04-02T02:04:52.007;2015-04-02T02:04:52.007;;;;0;
169;4;;2015-04-01T23:40:30.733;0;;120;120;2015-04-02T02:02:27.350;2015-04-02T02:02:27.350;;;;0;
170;1;;2015-04-01T23:52:36.577;3;154;43;169;2015-10-14T01:41:47.273;2015-10-14T01:41:47.273;Why are cortisone injections deleterious for tendons?;<tendinitis><steroids><injections>;2;6;1
171;1;203;2015-04-01T23:59:46.100;5;461;140;;;2015-08-07T20:11:55.917;What is the process for removing moles (cancerous or non-cancerous) from skin?;<dermatology><treatment>;2;0;
172;1;;2015-04-02T00:12:28.827;4;134;43;43;2016-04-03T15:24:08.790;2016-04-03T15:24:08.790;Why does icing work best when applied shortly after tendinitis symptoms appear?;<tendinitis><cryotherapy>;2;0;
174;2;;2015-04-02T00:28:10.370;4;;140;26;2015-08-10T05:10:54.753;2015-08-10T05:10:54.753;;;;0;
177;2;;2015-04-02T00:59:19.347;4;;26;26;2015-04-19T04:36:56.000;2015-04-19T04:36:56.000;;;;0;
178;1;180;2015-04-02T01:01:47.637;25;1131;115;115;2015-09-19T19:03:24.760;2016-03-02T00:57:04.253;Is eating spicy hot (pungent) food (hot chilli & peppers etc.) healthy or harmful?;<nutrition>;3;0;3
179;2;;2015-04-02T01:10:25.780;5;;;1830;2015-12-15T08:40:49.163;2015-12-15T08:40:49.163;;;;0;
180;2;;2015-04-02T01:25:54.500;23;;26;26;2015-04-15T20:16:49.363;2015-04-15T20:16:49.363;;;;0;
181;5;;2015-04-02T01:41:29.367;0;;;;2015-04-02T02:02:34.873;2015-04-02T02:02:34.873;;;;0;
182;4;;2015-04-02T01:41:29.367;0;;;;2015-04-02T02:03:36.237;2015-04-02T02:03:36.237;;;;0;
183;5;;2015-04-02T01:44:00.100;0;;;;2015-04-02T02:02:40.067;2015-04-02T02:02:40.067;;;;0;
184;4;;2015-04-02T01:44:00.100;0;;;;2015-04-02T02:03:20.743;2015-04-02T02:03:20.743;;;;0;
185;5;;2015-04-02T01:46:45.417;0;;;;2015-04-02T02:02:42.900;2015-04-02T02:02:42.900;;;;0;
186;4;;2015-04-02T01:46:45.417;0;;26;26;2015-04-06T13:37:11.143;2015-04-06T13:37:11.143;;;;0;
187;5;;2015-04-02T02:14:57.830;0;;-1;-1;2015-04-02T02:14:57.830;2015-04-02T02:14:57.830;;;;0;
188;4;;2015-04-02T02:14:57.830;0;;-1;169;2015-04-26T17:51:28.543;2015-04-26T17:51:28.543;;;;0;
189;2;;2015-04-02T02:25:25.330;6;;;;;2015-04-02T02:25:25.330;;;;0;
190;2;;2015-04-02T02:59:55.657;2;;;169;2015-04-04T01:31:04.803;2015-04-04T01:31:04.803;;;;6;
191;1;197;2015-04-02T03:02:41.087;7;1405;115;43;2015-04-02T05:48:12.227;2017-01-16T15:44:20.847;Right wrist pain from using computer mouse;<computers><pain><hand><wrist>;4;8;1
192;5;;2015-04-02T03:38:39.033;0;;-1;-1;2015-04-02T03:38:39.033;2015-04-02T03:38:39.033;;;;0;
193;4;;2015-04-02T03:38:39.033;0;;;;2015-04-02T05:04:15.733;2015-04-02T05:04:15.733;;;;0;
194;5;;2015-04-02T03:41:53.123;0;;-1;-1;2015-04-02T03:41:53.123;2015-04-02T03:41:53.123;;;;0;
195;4;;2015-04-02T03:41:53.123;0;;;26;2015-04-12T19:20:54.040;2015-04-12T19:20:54.040;;;;0;
197;2;;2015-04-02T04:27:12.740;3;;115;115;2017-01-16T15:44:20.847;2017-01-16T15:44:20.847;;;;2;
198;1;212;2015-04-02T04:44:12.693;4;140;92;100;2015-04-02T06:49:31.403;2015-04-02T14:07:13.113;Naturally improve eyesight;<eye><ophthalmology>;1;9;
200;2;;2015-04-02T05:03:04.380;6;;26;26;2015-04-10T20:07:10.670;2015-04-10T20:07:10.670;;;;2;
201;1;204;2015-04-02T05:06:46.500;4;11691;;59;2015-04-15T21:08:10.357;2015-04-20T21:20:22.847;Took a daily prescription pill but vomited shortly after;<pill><vomit>;1;4;0
202;1;205;2015-04-02T05:23:26.647;5;112;;43;2015-04-02T13:51:31.653;2015-04-03T01:23:05.270;How to tell the difference between not so serious wrist, finger, arm pain/strain/weakness and carpal tunnel syndrome?;<computers><pain><hand><wrist><carpal-tunnel-syndrome>;3;0;
203;2;;2015-04-02T05:39:04.907;5;;26;169;2015-08-07T20:11:55.917;2015-08-07T20:11:55.917;;;;0;
204;2;;2015-04-02T05:45:43.060;10;;26;26;2015-04-20T21:20:22.847;2015-04-20T21:20:22.847;;;;0;
205;2;;2015-04-02T06:38:03.183;0;;149;;2015-04-03T01:23:05.270;2015-04-03T01:23:05.270;;;;1;
206;2;;2015-04-02T07:05:03.127;8;;149;;;2015-04-02T07:05:03.127;;;;2;
207;2;;2015-04-02T07:13:59.070;2;;149;;;2015-04-02T07:13:59.070;;;;0;
208;5;;2015-04-02T07:15:26.450;0;;26;26;2015-04-02T13:50:56.180;2015-04-02T13:50:56.180;;;;0;
209;4;;2015-04-02T07:15:26.450;0;;26;26;2015-04-02T13:51:19.280;2015-04-02T13:51:19.280;;;;0;
210;5;;2015-04-02T07:16:19.613;0;;-1;-1;2015-04-02T07:16:19.613;2015-04-02T07:16:19.613;;;;0;
211;4;;2015-04-02T07:16:19.613;0;;26;26;2015-04-02T13:51:39.703;2015-04-02T13:51:39.703;;;;0;
